Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,6,480,80,0.006,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,0,0,NaN,0,NaN,0
10,0,0,NaN,0,NaN,0
11,0,0,NaN,0,NaN,0
12,0,0,NaN,0,NaN,0
13,0,0,NaN,0,NaN,0
14,0,0,NaN,0,NaN,0
15,0,0,NaN,0,NaN,0
16,0,0,NaN,0,NaN,0
17,0,0,NaN,0,NaN,0
18,0,0,NaN,0,NaN,0
19,0,0,NaN,0,NaN,0
20,0,0,NaN,0,NaN,0
21,0,0,NaN,0,NaN,0
22,0,0,NaN,0,NaN,0
23,0,0,NaN,0,NaN,0
24,0,0,NaN,0,NaN,0
25,0,0,NaN,0,NaN,0
26,0,0,NaN,0,NaN,0
27,0,0,NaN,0,NaN,0
28,0,0,NaN,0,NaN,0
29,0,0,NaN,0,NaN,0
30,0,0,NaN,0,NaN,0
31,0,0,NaN,0,NaN,0
32,0,0,NaN,0,NaN,0
33,0,0,NaN,0,NaN,0
34,1,80,80,0.001,255,1
35,0,0,NaN,0,NaN,1
36,0,0,NaN,0,NaN,1
37,0,0,NaN,0,NaN,1
38,0,0,NaN,0,NaN,1
39,0,0,NaN,0,NaN,1
40,0,0,NaN,0,NaN,1
41,0,0,NaN,0,NaN,1
42,0,0,NaN,0,NaN,1
43,0,0,NaN,0,NaN,1
44,0,0,NaN,0,NaN,1
45,0,0,NaN,0,NaN,1
46,0,0,NaN,0,NaN,1
47,0,0,NaN,0,NaN,1
48,0,0,NaN,0,NaN,1
49,0,0,NaN,0,NaN,1
50,0,0,NaN,0,NaN,1
51,0,0,NaN,0,NaN,1
52,0,0,NaN,0,NaN,1
53,0,0,NaN,0,NaN,1
54,0,0,NaN,0,NaN,1
55,0,0,NaN,0,NaN,1
56,0,0,NaN,0,NaN,1
57,0,0,NaN,0,NaN,1
58,0,0,NaN,0,NaN,1
59,0,0,NaN,0,NaN,1
60,0,0,NaN,0,NaN,1
61,1,80,80,0.001,255,2
62,0,0,NaN,0,NaN,2
63,0,0,NaN,0,NaN,2
64,0,0,NaN,0,NaN,2
65,0,0,NaN,0,NaN,2
66,0,0,NaN,0,NaN,2
67,0,0,NaN,0,NaN,2
68,0,0,NaN,0,NaN,2
69,0,0,NaN,0,NaN,2
70,0,0,NaN,0,NaN,2
71,0,0,NaN,0,NaN,2
72,0,0,NaN,0,NaN,2
73,0,0,NaN,0,NaN,2
74,0,0,NaN,0,NaN,2
75,0,0,NaN,0,NaN,2
76,0,0,NaN,0,NaN,2
77,0,0,NaN,0,NaN,2
78,0,0,NaN,0,NaN,2
79,0,0,NaN,0,NaN,2
80,1,80,80,0.001,255,3
81,0,0,NaN,0,NaN,3
82,0,0,NaN,0,NaN,3
83,0,0,NaN,0,NaN,3
84,1,80,80,0.001,255,4
85,0,0,NaN,0,NaN,4
86,0,0,NaN,0,NaN,4
87,0,0,NaN,0,NaN,4
88,0,0,NaN,0,NaN,4
89,0,0,NaN,0,NaN,4
90,0,0,NaN,0,NaN,4
91,0,0,NaN,0,NaN,4
92,0,0,NaN,0,NaN,4
93,2,160,80,0.002,255,6
