Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum,,Normal cells,All cells,Del/all cells*1000%
1,13,1037,86.417,0.013,255,0,,528,543,
2,0,0,NaN,0,NaN,0,,,,
3,0,0,NaN,0,NaN,0,,Divided,,0
4,0,0,NaN,0,NaN,0,,2,,0
5,0,0,NaN,0,NaN,0,,,,0
6,0,0,NaN,0,NaN,0,,,,0
7,0,0,NaN,0,NaN,0,,,,0
8,0,0,NaN,0,NaN,0,,,,0
9,0,0,NaN,0,NaN,0,,,,0
10,0,0,NaN,0,NaN,0,,,,0
11,0,0,NaN,0,NaN,0,,,,0
12,0,0,NaN,0,NaN,0,,,,0
13,0,0,NaN,0,NaN,0,,,,0
14,0,0,NaN,0,NaN,0,,,,0
15,0,0,NaN,0,NaN,0,,,,0
16,0,0,NaN,0,NaN,0,,,,0
17,0,0,NaN,0,NaN,0,,,,0
18,0,0,NaN,0,NaN,0,,,,0
19,0,0,NaN,0,NaN,0,,,,0
20,0,0,NaN,0,NaN,0,,,,0
21,0,0,NaN,0,NaN,0,,,,0
22,0,0,NaN,0,NaN,0,,,,0
23,0,0,NaN,0,NaN,0,,,,0
24,0,0,NaN,0,NaN,0,,,,0
25,0,0,NaN,0,NaN,0,,,,0
26,0,0,NaN,0,NaN,0,,,,0
27,0,0,NaN,0,NaN,0,,,,0
28,0,0,NaN,0,NaN,0,,,,0
29,0,0,NaN,0,NaN,0,,,,0
30,0,0,NaN,0,NaN,0,,,,0
31,0,0,NaN,0,NaN,0,,,,0
32,0,0,NaN,0,NaN,0,,,,0
33,0,0,NaN,0,NaN,0,,,,0
34,0,0,NaN,0,NaN,0,,,,0
35,0,0,NaN,0,NaN,0,,,,0
36,0,0,NaN,0,NaN,0,,,,0
37,0,0,NaN,0,NaN,0,,,,0
38,1,80,80,0.0009726,255,1,,,,0.184162062615101
39,0,0,NaN,0,NaN,1,,,,0.184162062615101
40,0,0,NaN,0,NaN,1,,,,0.184162062615101
41,0,0,NaN,0,NaN,1,,,,0.184162062615101
42,0,0,NaN,0,NaN,1,,,,0.184162062615101
43,0,0,NaN,0,NaN,1,,,,0.184162062615101
44,0,0,NaN,0,NaN,1,,,,0.184162062615101
45,0,0,NaN,0,NaN,1,,,,0.184162062615101
46,0,0,NaN,0,NaN,1,,,,0.184162062615101
47,0,0,NaN,0,NaN,1,,,,0.184162062615101
48,0,0,NaN,0,NaN,1,,,,0.184162062615101
49,0,0,NaN,0,NaN,1,,,,0.184162062615101
50,0,0,NaN,0,NaN,1,,,,0.184162062615101
51,0,0,NaN,0,NaN,1,,,,0.184162062615101
52,0,0,NaN,0,NaN,1,,,,0.184162062615101
53,0,0,NaN,0,NaN,1,,,,0.184162062615101
54,0,0,NaN,0,NaN,1,,,,0.184162062615101
55,0,0,NaN,0,NaN,1,,,,0.184162062615101
56,1,80,80,0.0009726,255,2,,,,0.368324125230203
57,0,0,NaN,0,NaN,2,,,,0.368324125230203
58,1,80,80,0.0009726,255,3,,,,0.552486187845304
59,0,0,NaN,0,NaN,3,,,,0.552486187845304
60,0,0,NaN,0,NaN,3,,,,0.552486187845304
61,1,80,80,0.0009726,255,4,,,,0.552486187845304
62,0,0,NaN,0,NaN,4,,,,0.736648250460405
63,0,0,NaN,0,NaN,4,,,,0.736648250460405
64,0,0,NaN,0,NaN,4,,,,0.736648250460405
65,0,0,NaN,0,NaN,4,,,,0.736648250460405
66,0,0,NaN,0,NaN,4,,,,0.736648250460405
67,0,0,NaN,0,NaN,4,,,,0.736648250460405
68,0,0,NaN,0,NaN,4,,,,0.736648250460405
69,0,0,NaN,0,NaN,4,,,,0.736648250460405
70,0,0,NaN,0,NaN,4,,,,0.736648250460405
71,0,0,NaN,0,NaN,4,,,,0.736648250460405
72,0,0,NaN,0,NaN,4,,,,0.736648250460405
73,0,0,NaN,0,NaN,4,,,,0.736648250460405
74,0,0,NaN,0,NaN,4,,,,0.736648250460405
75,1,80,80,0.0009726,255,5,,,,0.736648250460405
76,0,0,NaN,0,NaN,5,,,,0.920810313075507
77,0,0,NaN,0,NaN,5,,,,0.920810313075507
78,0,0,NaN,0,NaN,5,,,,0.920810313075507
79,0,0,NaN,0,NaN,5,,,,0.920810313075507
80,0,0,NaN,0,NaN,5,,,,0.920810313075507
81,0,0,NaN,0,NaN,5,,,,0.920810313075507
82,0,0,NaN,0,NaN,5,,,,0.920810313075507
83,0,0,NaN,0,NaN,5,,,,0.920810313075507
84,0,0,NaN,0,NaN,5,,,,0.920810313075507
85,0,0,NaN,0,NaN,5,,,,0.920810313075507
86,0,0,NaN,0,NaN,5,,,,0.920810313075507
87,0,0,NaN,0,NaN,5,,,,0.920810313075507
88,0,0,NaN,0,NaN,5,,,,0.920810313075507
89,1,80,80,0.0009726,255,6,,,,0.920810313075507
90,0,0,NaN,0,NaN,6,,,,1.10497237569061
91,1,80,80,0.0009726,255,7,,,,1.10497237569061
92,1,80,80,0.0009726,255,8,,,,1.47329650092081
93,0,0,NaN,0,NaN,8,,,,1.47329650092081
94,0,0,NaN,0,NaN,8,,,,1.47329650092081
95,0,0,NaN,0,NaN,8,,,,1.47329650092081
96,1,80,80,0.0009726,255,9,,,,1.47329650092081
97,1,80,80,0.0009726,255,10,,,,1.84162062615101
98,0,0,NaN,0,NaN,10,,,,1.84162062615101
99,0,0,NaN,0,NaN,10,,,,1.84162062615101
100,1,80,80,0.0009726,255,11,,,,1.84162062615101
101,0,0,NaN,0,NaN,11,,,,2.02578268876611
102,0,0,NaN,0,NaN,11,,,,2.02578268876611
103,0,0,NaN,0,NaN,11,,,,2.02578268876611
104,0,0,NaN,0,NaN,11,,,,2.02578268876611
105,0,0,NaN,0,NaN,11,,,,2.02578268876611
106,0,0,NaN,0,NaN,11,,,,2.02578268876611
107,0,0,NaN,0,NaN,11,,,,2.02578268876611
108,0,0,NaN,0,NaN,11,,,,2.02578268876611
109,0,0,NaN,0,NaN,11,,,,2.02578268876611
110,0,0,NaN,0,NaN,11,,,,2.02578268876611
111,1,80,80,0.0009726,255,12,,,,2.20994475138122
112,0,0,NaN,0,NaN,12,,,,2.20994475138122
113,1,80,80,0.0009726,255,13,,,,2.39410681399632
