Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,30,2468,82.267,0.033,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,0,0,NaN,0,NaN,0
10,0,0,NaN,0,NaN,0
11,0,0,NaN,0,NaN,0
12,1,80,80,0.001,255,1
13,0,0,NaN,0,NaN,1
14,0,0,NaN,0,NaN,1
15,0,0,NaN,0,NaN,1
16,1,80,80,0.001,255,2
17,0,0,NaN,0,NaN,2
18,1,80,80,0.001,255,3
19,0,0,NaN,0,NaN,3
20,0,0,NaN,0,NaN,3
21,0,0,NaN,0,NaN,3
22,1,80,80,0.001,255,4
23,1,80,80,0.001,255,5
24,0,0,NaN,0,NaN,5
25,0,0,NaN,0,NaN,5
26,0,0,NaN,0,NaN,5
27,0,0,NaN,0,NaN,5
28,0,0,NaN,0,NaN,5
29,0,0,NaN,0,NaN,5
30,0,0,NaN,0,NaN,5
31,0,0,NaN,0,NaN,5
32,0,0,NaN,0,NaN,5
33,0,0,NaN,0,NaN,5
34,0,0,NaN,0,NaN,5
35,0,0,NaN,0,NaN,5
36,1,80,80,0.001,255,6
37,0,0,NaN,0,NaN,6
38,0,0,NaN,0,NaN,6
39,1,80,80,0.001,255,7
40,0,0,NaN,0,NaN,7
41,0,0,NaN,0,NaN,7
42,2,160,80,0.002,255,9
43,0,0,NaN,0,NaN,9
44,1,80,80,0.001,255,10
45,0,0,NaN,0,NaN,10
46,0,0,NaN,0,NaN,10
47,1,80,80,0.001,255,11
48,0,0,NaN,0,NaN,11
49,0,0,NaN,0,NaN,11
50,0,0,NaN,0,NaN,11
51,0,0,NaN,0,NaN,11
52,0,0,NaN,0,NaN,11
53,0,0,NaN,0,NaN,11
54,2,160,80,0.002,255,13
55,1,80,80,0.001,255,14
56,1,80,80,0.001,255,15
57,0,0,NaN,0,NaN,15
58,0,0,NaN,0,NaN,15
59,2,160,80,0.002,255,17
60,2,160,80,0.002,255,19
61,2,160,80,0.002,255,21
62,0,0,NaN,0,NaN,21
63,0,0,NaN,0,NaN,21
64,1,80,80,0.001,255,22
65,2,160,80,0.002,255,24
66,2,160,80,0.002,255,26
67,1,80,80,0.001,255,27
68,0,0,NaN,0,NaN,27
69,2,160,80,0.002,255,29
70,2,160,80,0.002,255,31
