Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,7,560,80,0.003,255,
2,0,0,NaN,0,NaN,
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,0,0,NaN,0,NaN,0
10,0,0,NaN,0,NaN,0
11,0,0,NaN,0,NaN,0
12,0,0,NaN,0,NaN,0
13,0,0,NaN,0,NaN,0
14,1,80,80,0.0004563,255,1
15,0,0,NaN,0,NaN,1
16,0,0,NaN,0,NaN,1
17,0,0,NaN,0,NaN,1
18,0,0,NaN,0,NaN,1
19,0,0,NaN,0,NaN,1
20,0,0,NaN,0,NaN,1
21,0,0,NaN,0,NaN,1
22,0,0,NaN,0,NaN,1
23,0,0,NaN,0,NaN,2
24,1,80,80,0.0004563,255,2
25,0,0,NaN,0,NaN,2
26,0,0,NaN,0,NaN,2
27,0,0,NaN,0,NaN,2
28,0,0,NaN,0,NaN,2
29,0,0,NaN,0,NaN,2
30,0,0,NaN,0,NaN,2
31,0,0,NaN,0,NaN,2
32,0,0,NaN,0,NaN,2
33,0,0,NaN,0,NaN,2
34,0,0,NaN,0,NaN,2
35,0,0,NaN,0,NaN,2
36,0,0,NaN,0,NaN,2
37,0,0,NaN,0,NaN,2
38,0,0,NaN,0,NaN,2
39,0,0,NaN,0,NaN,2
40,0,0,NaN,0,NaN,2
41,0,0,NaN,0,NaN,2
42,0,0,NaN,0,NaN,2
43,0,0,NaN,0,NaN,2
44,0,0,NaN,0,NaN,2
45,0,0,NaN,0,NaN,2
46,0,0,NaN,0,NaN,2
47,0,0,NaN,0,NaN,2
48,1,80,80,0.0004563,255,4
49,1,80,80,0.0004563,255,4
50,0,0,NaN,0,NaN,4
51,0,0,NaN,0,NaN,4
52,0,0,NaN,0,NaN,4
53,0,0,NaN,0,NaN,4
54,0,0,NaN,0,NaN,4
55,0,0,NaN,0,NaN,4
56,0,0,NaN,0,NaN,4
57,0,0,NaN,0,NaN,4
58,0,0,NaN,0,NaN,4
59,0,0,NaN,0,NaN,4
60,0,0,NaN,0,NaN,4
61,0,0,NaN,0,NaN,5
62,1,80,80,0.0004563,255,5
63,0,0,NaN,0,NaN,5
64,0,0,NaN,0,NaN,5
65,1,80,80,0.0004563,255,6
66,0,0,NaN,0,NaN,6
67,0,0,NaN,0,NaN,6
68,0,0,NaN,0,NaN,7
69,1,80,80,0.0004563,255,7
