row,microchaete,click_number,x,y,frame,division_number
3,1,1,2572.000,254.000,33,3
3,2,2,2455.500,245.500,32,3
3,3,3,2043.500,241.500,29,3
3,4,4,1869.500,287.500,23,3
3,5,5,1669.500,325.500,26,3
3,6,6,1499.500,393.500,26,3
3,7,7,1329.500,459.500,19,3
3,1,8,2568.000,262.000,38,4
3,2,9,2449.500,275.500,37,4
3,3,10,2069.500,285.500,35,4
3,4,11,1833.500,303.500,31,4
3,5,12,1667.500,307.500,33,4
3,6,13,1483.500,377.500,34,4
3,7,14,1285.500,443.500,33,4
5,1,15,2198.000,490.000,20,3
5,2,16,1697.500,651.500,23,3
5,3,17,1489.500,747.500,26,3
5,4,18,1287.500,863.500,21,3
5,5,19,1083.500,925.500,31,3
5,1,20,2198.000,552.000,32,4
5,2,21,1685.500,653.500,29,4
5,3,22,1487.500,755.500,34,4
5,4,23,1265.500,847.500,27,4
