row,microchaete,click_number,x,y,frame,division_number
3,1,1,1764.000,436.000,51,3
3,2,2,1625.500,497.500,44,3
3,3,3,1445.500,515.500,28,3
3,4,4,1245.500,551.500,27,3
3,5,5,1073.500,593.500,31,3
3,6,6,887.500,609.500,22,3
3,7,7,709.500,659.500,21,3
3,1,8,1744.000,438.000,57,4
3,2,9,1603.500,491.500,59,4
3,3,10,1439.500,503.500,37,4
3,4,11,1241.500,553.500,32,4
3,5,12,1075.500,591.500,37,4
3,6,13,901.500,607.500,29,4
3,7,14,721.500,643.500,31,4
5,1,15,1908.000,790.000,46,3
5,2,16,1523.500,871.500,75,3
5,1,17,1932.000,808.000,46,4
5,2,18,1427.500,855.500,105,4
5,3,19,1457.500,875.500,13,4
