row,microchaete,click_number,x,y,frame,division_number
3,1,1,2060.000,1830.000,30,3
3,2,2,2477.067,1884.427,22,3
3,3,3,2627.971,1851.502,28,3
3,4,4,2935.267,1950.276,24,3
3,5,5,3173.969,1865.221,23,3
3,6,6,3453.827,1917.351,6,3
3,1,7,2022.000,1838.000,66,4
3,2,8,2394.756,1903.633,58,4
3,3,9,2592.303,1870.708,64,4
3,4,10,2869.417,1933.813,63,4
3,5,11,3141.045,2018.868,38,4
3,6,12,3475.777,2062.768,58,4
5,1,13,1780.000,2085.000,30,3
5,2,14,2438.656,2128.617,5,3
5,3,15,2600.534,2227.390,31,3
5,4,16,2896.855,2287.752,13,3
5,1,17,1750.000,2131.000,70,4
5,2,18,2323.420,2114.898,43,4
5,3,19,2531.942,2268.546,66,4
5,4,20,2792.594,2274.033,46,4
