row,microchaete,click_number,x,y,frame,division_number
3,1,1,2670.000,486.000,64,3
3,2,2,2250.469,505.210,66,3
3,3,3,2060.628,551.474,58,3
3,4,4,1859.620,559.450,63,3
3,5,5,1626.706,650.383,52,3
3,6,6,1446.437,723.766,37,3
3,7,7,1275.740,744.505,25,3
3,8,8,1079.518,693.456,32,3
3,1,9,2681.000,505.000,79,4
3,2,10,2245.683,506.805,79,4
3,3,11,2084.557,524.354,73,4
3,4,12,1848.453,533.926,80,4
3,5,13,1644.255,631.239,64,4
3,6,14,1471.962,674.312,70,4
3,7,15,1307.646,669.526,68,4
5,1,16,2538.000,840.000,63,3
5,2,17,2081.367,942.322,16,3
5,3,18,1810.166,967.847,50,3
5,4,19,1583.633,1077.923,29,3
5,5,20,1374.649,1164.069,18,3
5,6,21,1018.897,1227.881,27,3
5,1,22,2541.000,843.000,76,4
5,2,23,2132.417,864.153,51,4
5,3,24,1811.761,964.657,64,4
5,4,25,1609.158,1047.612,41,4
5,5,26,1403.364,1101.853,59,4
5,6,27,1038.041,1183.213,45,4
