row,microchaete,click_number,x,y,frame,division_number
3,1,1,2229.000,281.000,94,3
3,2,2,2010.503,396.494,93,3
3,3,3,1839.665,443.678,74,3
3,4,4,1685.098,536.418,100,3
3,5,5,1401.995,728.407,88,3
3,6,6,1268.579,773.964,99,3
3,7,7,1122.147,899.245,68,3
3,8,8,957.818,1031.034,70,3
3,1,9,2253.000,317.000,136,4
3,2,10,2008.875,440.424,133,4
3,3,11,1828.276,472.964,120,4
3,4,12,1681.844,554.315,125,4
3,5,13,1382.471,720.272,125,4
3,6,14,1229.531,786.980,126,4
3,7,15,1057.066,878.093,111,4
3,8,16,923.650,1018.017,111,4
5,1,17,2131.000,595.000,84,3
5,2,18,2039.789,653.564,97,3
5,3,19,1759.941,826.029,73,3
5,4,20,1577.714,970.834,73,3
5,5,21,1377.590,1114.012,41,3
5,6,22,1148.179,1169.331,66,3
5,1,23,2020.000,704.000,142,4
5,2,24,1751.806,819.520,96,4
5,3,25,1569.579,948.055,102,4
5,4,26,1343.422,1109.131,96,4
5,5,27,1138.417,1162.823,106,4
5,6,28,990.358,1211.633,105,4
