row,microchaete,click_number,x,y,frame,division_number
3,1,1,3139.000,363.000,68,3
3,2,2,3013.691,329.301,68,3
3,3,3,2802.809,367.355,61,3
3,4,4,2582.413,329.301,57,3
3,5,5,2244.684,310.274,63,3
3,6,6,2029.045,380.040,66,3
3,7,7,1832.432,405.409,50,3
3,1,8,3129.000,359.000,83,4
3,2,9,2983.565,345.157,84,4
3,3,10,2793.295,384.796,78,4
3,4,11,2582.413,335.643,74,4
3,5,12,2255.783,300.761,78,4
3,6,13,2021.117,381.625,75,4
3,7,14,1837.189,399.067,66,4
5,1,15,2827.000,646.000,57,3
5,2,16,2663.277,625.805,63,3
5,3,17,2225.657,719.354,33,3
5,4,18,1954.522,793.876,38,3
5,5,19,1772.180,812.903,51,3
5,1,20,2822.000,675.000,78,4
5,2,21,2639.494,652.760,86,4
5,3,22,2230.414,708.255,53,4
5,4,23,1976.720,784.363,56,4
5,5,24,1765.838,800.219,65,4
